Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,R1,145.625000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,R4,145.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,R5,145.725000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,R6,145.750000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,R7,145.775000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,R6X VIZ,145.762500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,R1BU 77,145.625000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,R2BU 77,145.650000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,R2VIT 1,145.650000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,R2BU 88,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,R2CAN 1,145.650000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,R3CAN 6,145.650000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,R3LE,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,R3NA,145.675000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,R4AV,145.700000,-,0.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,R4MA,145.700000,-,0.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
21,R5LR,145.725000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
22,R6LR 77,145.750000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
23,R6GI79,145.750000,-,0.600000,Tone,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
24,R7VIT 1,145.775000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
25,R7PA885,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,M16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,MPASAJE,161.950000,split,446.081250,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
30,PMR1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
31,PMR2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
32,PMR3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
33,PMR4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,PMR5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,PMR6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,PMR7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,PMR8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
39,REMER0,146.625000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
40,REMER1,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,REMER2M,146.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
50,SO50-1,436.815000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
51,SO50-2,436.805000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
52,SO50-3,436.805000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
53,SO50-4,436.800000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,SO50-5,436.795000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
55,SO50-6,436.790000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
56,SO50-7,436.785000,split,145.850000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
58,AO85-1,145.980000,split,435.160000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
59,AO85-2,145.980000,split,435.165000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
60,AO85-CE,145.980000,split,435.170000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
61,AO85-4,145.980000,split,435.175000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
62,AO85-5,145.980000,split,435.180000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
63,AO85-6,145.980000,split,435.185000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,AO85-7,145.980000,split,435.190000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
66,AO-91-1,145.960000,split,435.240000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
67,AO-91-2,145.960000,split,435.245000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
68,AO-91-3,145.960000,split,435.250000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
